name,year,paper title,co-authors,gender,Morrocan affiliation 
Yoshua Bengio,2005, Convex Neural Networks ,"Nicolas Roux, Pascal Vincent, Olivier Delalleau, Patrice Marcotte",male,no
Yoshua Bengio,2005,The Curse of Highly Variable Functions for Local Kernel Machines,"Olivier Delalleau, Nicolas Roux",male,no
Yoshua Bengio,2005,Non-Local Manifold Parzen Windows,"Hugo Larochelle, Pascal Vincent",male,no
Yoshua Bengio,2004,Non-Local Manifold Tangent Learning,Martin Monperrus,male,no
Yoshua Bengio,2004,Semi-supervised Learning by Entropy Minimization,"Yves Grandvalet,",male,no
Yoshua Bengio,2004,Brain Inspired Reinforcement Learning ,"Françcois Rivest, John Kalaska",male,no
Yoshua Bengio,2003,"Out-of-Sample Extensions for LLE, Isomap, MDS, Eigenmaps, and Spectral Clustering","Jean-françcois Paiement, Pascal Vincent, Olivier Delalleau, Nicolas Roux, Marie
 Ouimet",male,no
Yoshua Bengio,2003,No Unbiased Estimator of the Variance of K-Fold Cross-Validation ,"Yves Grandvalet,",male,no
Yoshua Bengio,2002,Manifold Parzen Windows ,Pascal Vincent,male,no
Yoshua Bengio,2001,A Parallel Mixture of SVMs for Very Large Scale Problems ,"Ronan Collobert, Samy Bengio",male,no
Yoshua Bengio,2001, K-Local Hyperplane and Convex Distance Nearest Neighbor Algorithms,"Pascal Vincent, ",male,no
Yoshua Bengio,2001,Estimating Car Insurance Premia: a Case Study in High-Dimensional Data Inference ,"Nicolas Chapados, Pascal Vincent, Joumana Ghosn, Charles Dugas, Ichiro 
Takeuchi, Linyan Meng",male,no
Yoshua Bengio,2000, A Neural Probabilistic Language Model,"Réjean Ducharme, Pascal Vincent",male,no
Yoshua Bengio,2000,Incorporating Second-Order Functional Knowledge for Better Option Pricing ,"Charles Dugas,François Bélisle, Claude Nadeau, René Garcia
",male,no
Yoshua Bengio,1999,Inference for the Generalization Error ,Claude Nadeau,male,no
Yoshua Bengio,1999,Modeling High-Dimensional Discrete Data with Multi-Layer Neural Networks ,Samy Bengio,male,no
Yoshua Bengio,1997,Training Methods for Adaptive Boosting of Neural Networks ,Holger Schwenk,male,no
Yoshua Bengio,1997,Shared Context Probabilistic Transducers ," Samy Bengio, Jean-Franc Isabelle, Yoram Singer",male,no
Yoshua Bengio,1996, Multi-Task Learning for Stock Selection,Joumana Ghosn,male,no
Yoshua Bengio,1995,Recurrent Neural Networks for Missing or Asynchronous Data ,Francois Gingras,male,no
Yoshua Bengio,1995, Hierarchical Recurrent Neural Networks for Long-Term Dependencies,Salah Hihi,male,no
Yoshua Bengio,1994,An Input Output HMM Architecture ,Paolo Frasconi,male,no
Yoshua Bengio,1994,Convergence Properties of the K-Means Algorithms,"Léon Bottou,",male,no
Yoshua Bengio,1994,Diffusion of Credit in Markovian Models,Paolo Frasconi,male,no
Yoshua Bengio,1993,Credit Assignment through Time: Alternatives to Backpropagation ,Paolo Frasconi,male,no
Yoshua Bengio,1993,"Globally Trained Handwritten Word Recognizer using Spatial Representation, Convolutional Neural 
Networks, and Hidden Markov Models","Yann LeCun, Donnie Henderson",male,no
Yoshua Bengio,1991,Neural Network - Gaussian Mixture Hybrid for Speech Recognition or Density Estimation ,"Renato De Mori, Giovanni Flammia, Ralf Kompe",male,no
Yoshua Bengio,1989,A Neural Network to Detect Homologies in Proteins ,"Samy Bengio, Yannick Pouliot, Patrick Agin",male,no
Yoshua Bengio,1989,Speaker Independent Speech Recognition with Neural Networks and Speech Knowledge ,"Renato de Mori, Régis Cardin",male,no
Yoshua Bengio,1988,Use of Multi-Layered Networks for Coding Speech with Phonetic Features,"Régis Cardin, Renato de Mori, Piero Cosi",male,no
