name,year,paper title,co-authors,gender,Morrocan affiliation 
Aymen Al Marjani,2022,Near Instance-Optimal PAC Reinforcement Learning for Deterministic MDPs,"Andrea Tirinzoni, Emilie Kaufmann
",male,no
Loubna Benabbou,2022,MAgNet: Mesh Agnostic Neural PDE Solver,"Oussama Boussif, Yoshua Bengio, Dan Assouline
",female,no
Loubna Benabbou,2023,"Improving *day-ahead* Solar Irradiance Time Series Forecasting by Leveraging 
Spatio-Temporal Context ","Oussama Boussif, Ghait Boukachab, Dan Assouline, Stefano Massaroli,
 Tianle Yuan, , Yoshua Bengio
",female,no
Kaoutar El Maghraoui,2022,Deep Compression of Pre-trained Transformer Models ,"Naigang Wang, Chi-Chun (Charlie) Liu, Swagath Venkataramani,
 Sanchari Sen, Chia-Yu Chen,  Vijayalakshmi (Viji) Srinivasan,
 Leland Chang
",female,no
Kaoutar El Maghraoui,2020,Ultra-Low Precision 4-bit Training of Deep Neural Networks,"Xiao Sun, Naigang Wang, Chia-Yu Chen, Jiamin Ni, Ankur Agrawal, 
Xiaodong Cui, Swagath Venkataramani,Vijayalakshmi (Viji) Srinivasan,
 Kailash Gopalakrishnan
",female,no
Tariq Daouda,2022,"Free Probability for predicting the performance of feed-forward fully connected
 neural networks","Reda CHHAIBI, Ezechiel Kahn
",male,YES
Oussama Boussif,2023,"Improving *day-ahead* Solar Irradiance Time Series Forecasting by Leveraging 
Spatio-Temporal Context","Ghait Boukachab, Dan Assouline, Stefano Massaroli, Tianle Yuan, 
Loubna Benabbou, Yoshua Bengio
",male,no
Oussama Boussif,2022,MAgNet: Mesh Agnostic Neural PDE Solver,"Yoshua Bengio, Loubna Benabbou, Dan Assouline
",male,no
Sanae Lotfi,2022,PAC-Bayes Compression Bounds So Tight That They Can Explain Generalization,"Marc Finzi, Sanyam Kapoor, Andres Potapczynski, Micah Goldblum, 
Andrew G. Wilson
",female,no
Sanae Lotfi,2021,Dangers of Bayesian Model Averaging under Covariate Shift,"Pavel Izmailov, Patrick Nicholson, Andrew G. Wilson
",female,no
Nouamane Tazi,2023,Scaling Data-Constrained Language Models,"Niklas Muennighoff, Alexander Rush, Boaz Barak, Teven Le Scao, Aleksandra Piktus, Sampo Pyysalo, Thomas Wolf, Colin A. Raffel",male,no
